KHUNG CHƯƠNG TRÌNH ĐÀO TẠO K30 CNTT - ĐẠI HỌC VĂN LANG
Nguồn: file Excel Khung CTĐT K30 CNTT (2025-08-21)
Tổng số học phần trong dữ liệu: 87

QUY ƯỚC:
- Điều kiện tiên quyết: phải đạt môn trước khi đăng ký môn hiện tại.
- Điều kiện học trước: môn yêu cầu/nên hoàn thành trước theo khung CTĐT.
- BB: bắt buộc; TC/TCxxx: tự chọn hoặc nhóm tự chọn.

71ITAI40803 | Nhập môn xử lý ảnh số | Introduction to Digital Image Processing | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Trí tuệ Nhân tạo | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: Không
71ITAI41203 | Học máy ứng dụng | Applied Machine Learning | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Trí tuệ Nhân tạo | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: [71ITDS40203]Xác xuất thống kê ứng dụng
71ITAI40503 | Trí tuệ nhân tạo ứng dụng | Applied Artificial Intelligence | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Trí tuệ Nhân tạo | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: [71ITDS40203]Xác xuất thống kê ứng dụng
71ITAI40603 | Thị giác máy tính | Computer Vision | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Trí tuệ Nhân tạo | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITAI41203]Học máy và ứng dụng
71ITAI40403 | Giới thiệu về học sâu | Introduction to Deep learning | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Trí tuệ Nhân tạo | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITAI40503]Trí tuệ nhân tạo ứng dụng
71ITAI41303 | Các công cụ và nền tảng cho trí tuệ nhân tạo | Tools and Platforms for Artificial Intelligence | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Trí tuệ Nhân tạo | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: Không
71ITIS30203 | Hệ Quản trị Cơ sở dữ liệu | Database Management System | 3 TC | TC309 | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Tự chọn Chuyên ngành | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: [71ITIS30103]Cơ sở dữ liệu
71ITSE30603 | Lập trình ứng dụng di động | Mobile Application Programming | 3 TC | TC309 | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Tự chọn Chuyên ngành | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: [71ITBS10203]Cơ sở lập trình
71ITSE30703 | Lập trình di động nâng cao | Advanced Mobile Programming | 3 TC | TC309 | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Tự chọn Chuyên ngành | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: [71ITSE30603]Lập trình ứng dụng di động
71ITSE31003 | Lập trình Python nâng cao | Advanced Python Programming | 3 TC | TC309 | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Tự chọn Chuyên ngành | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITNW30403 | Lập trình Hệ thống nhúng và Mạng kết nối vạn vật | Programming for Embedded Systems and Internet of Things | 3 TC | TC309 | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Tự chọn Chuyên ngành | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITAI51403 | Nhập môn tối ưu hóa | Introduction to Optimization | 3 TC | TC309 | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Tự chọn Chuyên ngành | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITSE30803 | Lập trình Java nâng cao | Advanced Java Programming | 3 TC | TC309 | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Tự chọn Chuyên ngành | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITSE30403]Lập trình ứng dụng Java
71ITSE41603 | Kiểm thử tự động | Automation Testing | 3 TC | TC309 | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Tự chọn Chuyên ngành | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITSE41203]Kiểm thử phần mềm
71ITIN40304 | Đồ án thực tập | Internship Project | 4 TC | BB | Nhóm: Học kỳ doanh nghiệp | Chuyên ngành: Chung | Năm 3 | HK 3 | Tiên quyết: Theo quy định của Khoa | Học trước: Không
71ITGR40206 | Đồ án Tốt nghiệp | Graduation Projects | 6 TC | TC406 | Nhóm: Khóa luận/đồ án tốt nghiệp; hoặc học phần thay thế KL/ĐA TN | Chuyên ngành: Chung | Năm 4 | HK 1 | Tiên quyết: HP Bắt buộc Chuyên ngành | Học trước: Không
71ITIS30603 | Chuyên đề Tối ưu hóa máy tìm kiếm | Search Engine Optimization | 3 TC | TC406 | Nhóm: Khóa luận/đồ án tốt nghiệp; hoặc học phần thay thế KL/ĐA TN | Chuyên ngành: Tự chọn Chuyên ngành | Năm 4 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITIS30503 | Chuyên đề Thương Mại điện tử | E-Commerce | 3 TC | TC406 | Nhóm: Khóa luận/đồ án tốt nghiệp; hoặc học phần thay thế KL/ĐA TN | Chuyên ngành: Tự chọn Chuyên ngành | Năm 4 | HK 1 | Tiên quyết: Không | Học trước: Không
